score,content,date
4,빠른 진행. 많은 정보(후기).,2024-07-26
5,좋습니다 편합니다,2024-07-26
5,굿,2024-07-26
5,좋아용,2024-07-26
1,소비자에게 모든 피해를 올리는 나쁜기업,2024-07-26
5,짱이다,2024-07-26
5,편해요,2024-07-26
5,좋아요,2024-07-26
4,기대치만큼,2024-07-26
5,어디서든 편하게 정보를 알수있어 좋아요.,2024-07-26
5,조아요,2024-07-26
5,굿,2024-07-26
5,검색하기 정말좋아요~^^,2024-07-26
5,이용이 편리하고 어디서 맘편히 사용 가능해서 감사합니다,2024-07-26
5,좋아요,2024-07-26
5,사용간단하고 할인이 많아 좋습니다.,2024-07-26
5,예약 가능한 숙소 배정이 빠릅니다.,2024-07-26
1,티몬 사태로 화사의 민낯을 알게됨 여기 책임안집니다 조심하세요,2024-07-26
5,저렴하게 숙소를 구할수있어 좋아요,2024-07-25
5,편합니다. 싼 호텔 찾기,2024-07-25
1,이번 티몬사태로 야놀자 기업을 판단하게되었습니다 판매만하면 끝이고 앵무새같은 답변만 하고 책임감없는 회사,2024-07-25
4,처음인데 기대되네요,2024-07-25
4,편하게 쉴수있어서좋아요,2024-07-25
5,사용편리합니다,2024-07-25
5,깨끗하고좋아요,2024-07-25
5,빠른 처리/취소일 유연,2024-07-25
5,깨끗하고 좋아요,2024-07-25
5,사용하기 편하고 좋네요,2024-07-25
5,굿굿,2024-07-25
5,저렴하게 숙소 잘 잡았어요.,2024-07-25
5,내가 원하는 숙소가 있어서 결정,2024-07-25
5,편해요,2024-07-25
5,조아요,2024-07-24
5,굿 좋아용,2024-07-24
5,좋아요,2024-07-24
5,쿠폰/할인..앱사용 간편함,2024-07-24
5,상세하게 편리합니다,2024-07-24
5,따봉,2024-07-24
3,신속 빠름.,2024-07-24
5,좋아요,2024-07-24
5,할인되서 좋고 안내가 잘되어있네요,2024-07-24
5,화면이 쉽고 혜택이 많음,2024-07-23
5,좋아요,2024-07-23
3,"리뷰 관리좀 해주세요.. 숙소측에서 도배해 놓은듯한, 한사람이 쓴 리뷰들이 너무 많아서 괜찮은 곳 고르기가 힘들어요",2024-07-23
5,항상 만족스러운 예약 과 여행입니다,2024-07-23
5,친절. 깔끔 굿입니다,2024-07-23
5,... 그리고 ...,2024-07-23
5,좋은숙소빠르고 저렴한숙소쉽게찾을수있어조아요,2024-07-23
5,안써봐서몰라요,2024-07-23
5,출장갈때 너무 편합니다!,2024-07-23
5,부킹잘되고 저렴하고 숙소품질 만족스럽고 이러니 내가 만족하죠.,2024-07-23
5,좋아,2024-07-23
1,숙박 후 익일 시간연장을 위해 대실 상품 예약함. 방 타입이 다르니 다른 상품으로 다시 예약하고 이전 예약은 야놀자측에 요청하라는 호텔측 답변받고 야놀자에 전화함 (두번의 예약과 취소요청이 약 5분 이내에 모두 진행되었음)잘못 예약한건의 대실시작시간이 이미 경과되어서 취소가 불가하다함. 약관상 어느부분에 문제가 되는지 확인후 연락달라고했으나 두번째 통화에서도 취소가 불가하다는 동일한 답변 외 요청한 설명에 대해서 답변받지 못해 더 이상 무의미한 통화를 종료함,2024-07-23
5,굿,2024-07-23
5,좋아요,2024-07-23
5,간편 검색 결재 이용 최고의 숙소 소개,2024-07-23
5,고객센터가 매우 친절하며 대응도 빨리해주셔서 추천합니다,2024-07-23
5,직이네예,2024-07-23
5,직괸적 풍부한 정보 편리함,2024-07-23
5,최저가,2024-07-23
5,청결해서 좋아요,2024-07-23
5,쿠폰할인이 많이 적용되어서 이용합니다,2024-07-23
5,쿠폰으로 할인도 받고 제휴 카드로 6개월 무이자 할부 가능하니 좋네요 ^^,2024-07-22
5,굿,2024-07-22
5,제일 많이사용하는 숙박어플,2024-07-22
1,이제 할인이 안되나보내요 여기어때보다 가격이 비싸네요 갈아탑니다,2024-07-22
5,여행 및 기타 숙소구하기 편리해요,2024-07-22
5,항상 촤고의 선택,2024-07-22
4,좋아요,2024-07-22
5,너무편함,2024-07-21
5,다양한 선택 빠른 정보,2024-07-21
5,굿,2024-07-21
4,굳,2024-07-21
5,주변인에게 알려주고싶어요 가격도 할인되고 좋아요,2024-07-21
5,예약이 편해서 너무 죠아요,2024-07-21
5,군더더기 없이 깔끔해서 좋아요!!.^^.,2024-07-21
5,아주좋아요,2024-07-21
5,이용하기 좋은 앱이에요,2024-07-21
5,최저가에 정보가 많아요,2024-07-20
5,조용하고 친절해서 좋아요,2024-07-20
5,굿 최고다 써봐라,2024-07-20
5,7천원 할인쿠폰 주셔서 냉큼 예약했습니다.,2024-07-20
5,사용이편하고 좋아요~,2024-07-20
4,빠른정보와 깔끔한 앱,2024-07-20
5,다양한 숙소와 다양한 할인 쿠폰!,2024-07-20
5,좋아요 편해요,2024-07-20
5,미리보기 리뷰가 좋아요,2024-07-20
1,펜션 시설 서비스 목록에 연락처좀 올려주세요 너무 불편하네요,2024-07-20
5,좋아요,2024-07-20
5,정확한정보와최상의정보를제공하고있어믿고사용하고있습니다,2024-07-20
5,쿠폰 주셔서 감사합니다 어서 야놀자로 오세요^^,2024-07-20
5,좋아요~,2024-07-20
5,정말 잘 쓰고 있는데 이번 업뎃으로 왜 금연객실 카테고리가 사라졌나요..? 그거 정말 잘 쓰고 있었는데...,2024-07-20
5,좋아요,2024-07-19
5,여자친구와 잘 이용하고 잇슴다,2024-07-19
5,좋아요,2024-07-19
5,좋은 여행정보 찾기 편하고 할인혜택까지 제일 좋았어요 앞으로또 잘 이용 할게요~~~,2024-07-19
5,좋아요,2024-07-19
5,경치 최고에요~~!!,2024-07-19
5,쿠폰도 그렇고 할인도 그렇고 앱사용도 편해서 잘 사용하고있습니다.,2024-07-19
4,인증번호가 안오는데 혹시 앱상 오류일까요?,2024-07-19
5,항상 유용하게 이용하고 있어요. 매우 편합니다.,2024-07-19
5,킹왕ㅁ장,2024-07-19
5,오빠 나 오늘 집에 안들어갈꺼야..,2024-07-19
5,좋아요,2024-07-19
5,조아유,2024-07-18
5,👍,2024-07-18
5,사용하기 편하고 다른 앱보다 상세한 설명에 저렴한 가격 최고 입니다,2024-07-18
5,"숙소 예약 말고도 여러 전시, 관람, 등 다른 것도 예약이 가능해서 좋아요",2024-07-18
5,좋은 여행 정보 감사합니다,2024-07-18
5,엄청 편리해요,2024-07-18
5,아주좋아요,2024-07-18
5,아주 편리해요,2024-07-18
5,빠르고 정확하고 이용이 편리함!,2024-07-18
5,제휴모텔들이 생각보다 많아요!,2024-07-18
5,매우좋은상품을 빠르게 연겲 베리굿,2024-07-18
5,신속한 야스를 원하는 자들에게 추천.,2024-07-18
5,좋음 사용하기 엄청,2024-07-18
5,사용하기가 편합니다.,2024-07-18
5,예약하기 편리하게 잘 되어있어요,2024-07-18
5,정보가 정확히 알수있어 좋아요,2024-07-18
5,굿,2024-07-18
5,국내여행 저렴한혜택 아주 좋아요,2024-07-18
4,이용하기 좋아요,2024-07-18
5,좋습니다 ㅎ,2024-07-18
5,사용하기에 편리하고 할인혜택도 있어서 좋아요👍,2024-07-18
5,간단함,2024-07-17
5,좋아요,2024-07-17
5,저렴하고 사용하기 편합니다,2024-07-17
3,정신없네요.,2024-07-17
5,감사감사 할인쿠폰개꿀,2024-07-17
5,만족함,2024-07-17
5,쿠폰도 많이주고 방리뷰도 많아서 좋아요,2024-07-17
1,사용자 기만하는 최악 어플. 분쟁이 생겼을 때 소비자를 보호할 생각이 전혀 없음,2024-07-17
5,굿,2024-07-17
5,검색하기가 쉬워요,2024-07-17
5,쿠폰항상 잘쓰고좋습니다ㅎ,2024-07-17
2,7ㅎ . ㅊ88⁷궅ㄱ5ㄱ0,2024-07-17
5,역쉬최고임다,2024-07-17
5,편한 플랫폼 좋아요,2024-07-17
5,👍,2024-07-17
5,편하고 빠르고 좋음,2024-07-17
5,좋아요,2024-07-17
5,쿠폰 쓰니까 비용이 저렴해져서 씁니다,2024-07-17
5,저렴하고 좋습니다,2024-07-16
5,좋아요,2024-07-16
5,Good,2024-07-16
2,많이 부족하다.,2024-07-16
5,잘쓰고있음,2024-07-16
5,최고 수준,2024-07-16
4,깨끗해요,2024-07-15
5,할인도 되고 좋아요~,2024-07-15
5,굿,2024-07-15
5,인원많아 추가요금 필요할때 현장결재할지 예매할때 같이 낼지 있으면 좋겠습니다,2024-07-15
5,좋아요,2024-07-15
5,할인이 많이되요 !얏호,2024-07-15
5,간단하게 알아보고 처리했어요.,2024-07-15
5,편하고 간편해요,2024-07-15
5,너무좋아요 예전부터 이용했지만 편리하고 쿠폰이나 혜택도 많아서 좋아요,2024-07-15
5,각종 할인 혜택도 있고 좋아요,2024-07-15
5,계산이 간편해요,2024-07-15
5,제일 싸다,2024-07-14
5,완전 추천 나만알고싶은 모텔,2024-07-14
5,다른앱은 없다고 되있는데 여기는 안그렇네욥!!,2024-07-14
5,야놀자 얘들아 최고다잉,2024-07-14
5,다른 앱보다 확실히 저렴합니다,2024-07-14
5,숙소 검색 & 예약하기에 편리합니다.,2024-07-14
5,할인쿠폰,2024-07-14
5,핫딜을 안내해줘서 저렴하게 놀수있어요!!!!!,2024-07-14
5,귯굿,2024-07-14
4,저렴하게 레져쿠폰구입!,2024-07-14
4,앞으로 자주 애용할게요,2024-07-14
5,다양한 놀거리들이 많아서 가족과 즐거운 시간 보낼 수 있어요.,2024-07-14
5,편함,2024-07-14
5,최고~,2024-07-14
5,할인이 되니 좋아요,2024-07-14
5,오션월드 가장 싸게 놀러 갑니다 ~~,2024-07-14
5,몰라,2024-07-13
5,알면서,2024-07-13
5,쿠폰사용할수있어 저렴합니당,2024-07-13
4,저렴해서,2024-07-13
5,좋아요,2024-07-13
5,좋아요😄,2024-07-13
5,숙소에대해 정보를 알수있고 편하게 예약해서좋다,2024-07-13
5,좋아요.,2024-07-13
5,"쉽고, 편하게 사용하기 좋아요",2024-07-13
5,편안하고 좋아요,2024-07-13
5,굿굿,2024-07-12
5,정보가많아요~~~!,2024-07-12
5,잘씁니다,2024-07-12
5,당골 ㄱㄱㄱ,2024-07-12
5,처음 팬션예약했는데. 할인 받고 좋아요 ~^^,2024-07-12
5,굿,2024-07-12
5,좋아요,2024-07-12
3,할인율이 딴곳이 쌀때가 많음,2024-07-12
5,좋아좋아요,2024-07-11
5,다양한 검색조건으로 조회할수 있어 좋다,2024-07-11
4,야놀자에 모텔들이 많아 비교해 보고 고를수 있어 좋아요,2024-07-11
5,구구구구구구구구굿,2024-07-11
5,좋아요👍,2024-07-11
5,얩 사요미 정말쉽고 편해요,2024-07-11
5,구웃~~~,2024-07-11
5,굿,2024-07-11
5,할인혜택이 많아요,2024-07-11
5,많은 정보를 제공함,2024-07-11
5,굿,2024-07-11
5,사용하기 편하고 할인도 되어 좋아요.,2024-07-11
5,여행 좋아하는 저에게 딱맞는 앱이네요,2024-07-11
1,사용자 편리성,2024-07-11
5,👍,2024-07-11
5,예약이 편하고 좋아요....,2024-07-11
5,할인을 많이 해줘서 너무 좋네요,2024-07-11
5,좋아요,2024-07-11
5,야놀자 출시전부터 시작했는데 너무 좋네요 어제 처음접속하고 기쁘네요,2024-07-11
5,좋음,2024-07-10
5,좋아요좋아요좋아요,2024-07-10
5,잘 사용하고 있어요 야놀자 모델 우식이 귯~~,2024-07-10
5,다른데 보다 자세한 숙박 정보,2024-07-10
5,간단하게 여행가기 좋아요,2024-07-10
2,검색 로직좀 개선하세요..,2024-07-10
5,편하고 좋아요 다 좋은데... 포인트 적립이 너무 짜요 할인 이런거 말고 출장자주다니는 사람을 위한 포인트 적립혜택이 필요합니다,2024-07-10
5,사용하기편하고 가격도 좋고,2024-07-10
5,빠르고 예약하기 좋아요,2024-07-10
5,쿠폰좋아요,2024-07-10
3,"Okukuba essasi? E ㅇ.zimbe 211 Ye ㅇ ㅇ, .let's opl,Ojjlolo I ㄷ,ll,okl,okp Lplj nookool Yn",2024-07-10
5,항공은 다른 어플에서 주로 이용했는데 야놀자가 요즘 제일 저렴한거 같아 자주 이용합니다.굿,2024-07-10
5,감편해서 좋아요,2024-07-10
5,사용하기편하고 많은혜택과 좋은시설의 숙소가있어서. 좋아요,2024-07-10
5,좋아용,2024-07-10
5,굳굳굳!,2024-07-10
5,편리합니다.,2024-07-10
4,혼자 여행을 자주 다니는데 야놀자에서 예약을 하면 늘 기대이상으로 만족하고 있습니다.,2024-07-09
1,"완전 G랄 같은 여기어때!! 한 10일전에 예약하고 결제하고 확정 받았는데 여행 이틀전 오버부킹이라고 취소하라고 하는 완전 쓰레기 같은 여기어때 !!! 사용자가 실수로 날짜 잘못 찍은건 1도 구제없이 처리해버리고, 10일도 전에 확정한 숙소가 어떻게 오버부킹 이냐고...ccc 호텔 연락하니 방이 그날짜에 있데요...심지어'.. 기가차고 고객가치 1도 생각지 않는 여기어때 망했으면 좋겠습니다 Ccc 또 광고 하네...된좡 당신들 때문에 내 여행 완전 망쳤다고...똑바로 합시다 돈 독만 오른 여기어때....",2024-07-09
5,여러군데. 알아보고 선택할수있어 좋네요,2024-07-09
5,혜택이 많아서 좋아요.,2024-07-09
5,편해요 ^^,2024-07-09
2,골드회원으로 이용중인데 숙소후기 올릴때마다 네트워크 오류라고 떠서 문의하니까 사진 때문이라고 하는데 용량문제도 아니고 사진에 이상도 없는데 원인을 찾을수 없다고 하여 텍스트만 올림 ㅎ,2024-07-09
5,신속한 처리,2024-07-09
3,편하게잘써요,2024-07-09
5,숙소 예약할때 자주 이용해요. 할인혜택이 다양해서 좋습니다.,2024-07-09
5,야놀자~~짱입니다,2024-07-09
5,좋아요,2024-07-09
5,혼자서 여행할 때 많이 이용하고 있습니다.,2024-07-09
5,네이스,2024-07-08
4,좋아요,2024-07-08
4,할인이 많아서 좋네요,2024-07-08
5,편하고 저렴한 상품 좋아요,2024-07-08
5,Good,2024-07-08
5,편하고 저렴하게 이용가능해서 너무 좋아요,2024-07-08
5,"신속, 정확, 환불 만족",2024-07-08
4,숙소예약하기 좋음,2024-07-08
4,굿,2024-07-08
5,믿을 수 있네요,2024-07-08
5,좋아요,2024-07-08
1,골드 등급?7일되자마자 아무것도 숙소가 안뜹니다,2024-07-08
5,굿,2024-07-08
1,대기예약이라도 적어도 일주일안에는 중간상황이나 결과를 알아야 다른 숙소를 대비하도하지. 고객센터 문의해도 상담원이 홈페이지에 써있는 ai답변만하고 그냥 챗봇으로 다 바꿔도될듯. 적어도 해당부서에 전달하겠다라도하든지.. 카드결제는 전액 다 받아놓고. 그냥 취소하고 탈퇴한다,2024-07-08
5,편하고 좋아요,2024-07-08
5,편하게 사진보고 예약할 수 있어 좋았습니다,2024-07-08
5,할인혜택이 생각보다 많아요,2024-07-07
5,좋습니다,2024-07-07
5,좋음,2024-07-07
5,쪼아요,2024-07-07
5,쉽게예약편리합니다,2024-07-07
5,Good,2024-07-07
5,편해요,2024-07-07
5,모든 면에서 가장 좋아요!,2024-07-07
5,편리한 서비스,2024-07-07
4,하이🤗,2024-07-07
5,좋아용,2024-07-07
5,좋아요 네이버지도 검색후 야놀자에서 예약함,2024-07-07
5,최고입니다,2024-07-06
5,굿굿굿~^^,2024-07-06
5,할인도되고 저렴히 예약했어요.ㅎ,2024-07-06
4,아주 편하고 좋아요,2024-07-06
5,좋아요,2024-07-06
5,굿,2024-07-06
5,편리하고 쉽다,2024-07-06
5,조아조아,2024-07-06
5,굿,2024-07-06
5,최저가로 혜택도 듬뿍,2024-07-06
5,쿠폰도 많고 편해요,2024-07-06
5,잘사용하고있어요~,2024-07-06
5,좋아요,2024-07-06
5,숙박업소 어플 goat,2024-07-06
4,좋아요.,2024-07-06
5,원하는 숙소를 쉽게 찾아보고 비교할 수 있었어요,2024-07-05
5,선택하기 좋습니다~^^,2024-07-05
5,"항시 도움을 받고 있어요,,리뷰도 상세하고,,사용할곳 설명도 충분해서 도움이 필요할 시 이용하고 있어요",2024-07-05
5,좋아요~~,2024-07-05
5,다른 사이트에 비해 할인이 있음,2024-07-05
5,예약 스킨스가 용이하고 간편해서 참 좋았습니다,2024-07-05
5,쿠폰줘서 할인 받았어융,2024-07-05
5,간편해요,2024-07-05
5,좋은 가격에 롯데월드 아쿠아리움 연간회원권 구매할 수 있었어요.,2024-07-05
5,할인되고 좋습니다.,2024-07-05
5,미리 예약할수있어서 좋아요,2024-07-05
5,여행갈때 자주 찾아요^^,2024-07-05
5,깔끔하고,2024-07-04
5,좋아요,2024-07-04
5,굿,2024-07-04
5,최고,2024-07-04
1,결국 저도 당하네요 ㅎㅎ 고질적인 문제인 것 같던데 중복예약 좀 고치던가 해주세요 ^^ 여기어때로 갈아탑니다~,2024-07-04
3,좋아요,2024-07-04
5,최고편리합니다,2024-07-04
5,굿,2024-07-04
5,편하게 잘쓰고있어요^^,2024-07-04
5,좋네요,2024-07-04
4,가성비좋은곳 찾기좋음 ㅎㅎ,2024-07-04
5,간편하게 펜션 정보도 보면서 예약 할수 있어 좋아요,2024-07-04
5,싸게 숙소 잡았어요~,2024-07-03
5,야눌자 최고 좋아요~~,2024-07-03
5,다른곳보다싸게 가는거 같아요,2024-07-03
5,가장 싸고 사용하기 편해요.,2024-07-03
5,최고중 최고예요 👍 여행지 정보,2024-07-03
5,편하게 숙소예약했어요,2024-07-03
5,숙소종류가 많고 다양한 특가상품 등 혜택을 이용하기 좋음. 불가피한 이용불가시 취소도 용이해 신뢰할 수 있음,2024-07-03
5,좋아요~,2024-07-03
5,호텔찾기 편해요,2024-07-03
5,구매하고 샆은곳 싸게 사서 좋아요^^,2024-07-03
5,매번 특가나오고 좋아요^^,2024-07-03
2,Reply with your 4th and the dry one sided with,2024-07-03
5,최고의 숙소어플입니다.,2024-07-02
5,좋아요,2024-07-02
5,굿~~!!,2024-07-02
5,쓰기 너무 편하구좋아요,2024-07-02
5,깨끗함,2024-07-02
5,가격이 저렴합니다,2024-07-02
5,Good,2024-07-02
5,그냥 무조건 만족,2024-07-02
4,사용이 간편함 그런데 소액결제 부분이 답답함,2024-07-02
5,좋음,2024-07-02
5,설명잘되있음,2024-07-02
5,"혜택도 많고, 숙소도 다양하네요",2024-07-02
5,예약이 편해요,2024-07-02
5,좋아요ㅎㅎ,2024-07-02
1,진짜 너무 느려요 이렇게 느린 어플은 처음이네요,2024-07-02
1,ㄴ앱이 안되는데 지금 장난하시나요?,2024-07-01
5,숙소가 많음,2024-07-01
5,올때마다 묵는 숙소입니다 깨끗하고 친절해서 정말 좋습니다,2024-07-01
5,아주편리하네요,2024-07-01
1,잘 쓰고있었는데 왜 어플켜면 유튜브로 납치되냐? 프리미엄쓰니깐 아예 PIP도 납치해서 야놀자 틀어버리네,2024-07-01
4,다른곳쓰는데 합병됐나봐요,2024-07-01
5,최고에용,2024-07-01
5,할인 쿠폰 좋아요 😀,2024-07-01
5,예약정보잘 확인할수있고 좋네요,2024-07-01
5,빠르고 저렴하고 넘 좋아요-!,2024-07-01
3,굳,2024-07-01
5,쿠폰도 많이주고 할인율이 올라갔네요,2024-07-01
5,숙소에 대한자세한 설명이 잘 되어있습니다,2024-07-01
5,간편하구 편해요.,2024-07-01
5,너무 조아요!!,2024-06-30
5,사용하기 편리해요,2024-06-30
5,무료취소좋아요. 혹시나 일정변화가 있을수도있으니까요,2024-06-30
5,가성비 최고,2024-06-30
5,저렴한곳이 많아요,2024-06-30
5,좋아요.,2024-06-30
5,경관도 좋고 기족끼리 쉬기에 좋은거 같습니다.,2024-06-30
1,이용후기를 업체 마음대로 비공개하면 후기 기능이 존재하는 이유가 뭡니까?,2024-06-30
4,객실 사진은 욕실 전체사진을 꼭 넣어주셨으면 합니다,2024-06-30
5,할인도 많이되고 방선택도 다양하고 사용하기 편해서 좋네요,2024-06-30
5,최저가,2024-06-30
5,굿,2024-06-29
1,양아치어플임 호텔측에서 무료로 취소해주겠다고하는데 중개어플측에서는 취소수수료 쳐내라고함ㅋㅋㅋㅋ 아니 호텔이 취소해주겠다는데 지들이 뭔데 취소안된다고함? 이 거지같은어플 삭제하고 다른어플쓰시길 당일예약도아니고 예약한지 2시간지나서 취소하겠다는데 10분안에 취소안하면 무료취소불가능하다 이럼 ㅋㅋ,2024-06-29
5,항상 여행갈때 이용하는 숙박어플입니다,2024-06-29
4,좋아요,2024-06-29
5,타사이트보다 저렴합니다,2024-06-29
5,포인트도 주시고 아주 좋아요,2024-06-29
5,굿입니다,2024-06-29
5,굿^^b,2024-06-29
5,편리하게 지역별 인원별 선택할수있어서 좋네요,2024-06-29
5,항상좋은정보유익합니다 감사유,2024-06-29
5,할인혜택이 정말 좋습니다 ㅋㅋ,2024-06-29
4,예약이 펀해요,2024-06-29
5,숙소 찾기 딱 좋은 어플!,2024-06-29
5,좋아요,2024-06-28
5,여행할때마다 항상 이용하는 야놀자!! 혹시라도 개인적인 사정으로 예약후 부득이 취소하더라도 수수료도 없으며 수시로 제공되는 할인쿠폰 등도 알뜰하게 잘 사용할 정도로 최고입니다.,2024-06-28
5,좋네요. 다양하고 사용 방법도 마음에 들고 환불도 가능하고요,2024-06-28
5,편하고 좋아요^^,2024-06-28
5,좋아요 좋아요,2024-06-28
5,편하고 인터페이스 굿굿,2024-06-28
5,자세한 설명,2024-06-28
5,보기 편하고 좋아요^^,2024-06-28
5,전보다 이용이 편리해짐,2024-06-28
5,아주 좋아여,2024-06-28
5,저렴해요,2024-06-28
4,이곳저곳 도시별로 비교하며 예약할수있어서 여행쥰비가 간편해요~~,2024-06-28
5,다른사이트보다경쟁력있네요,2024-06-28
5,굿이에요,2024-06-27
5,빠른 예약,2024-06-27
5,걍 완전 편함. 써보면 알수 있는데 다른곳이랑 비교해보면 할인 많이 해주고 이벤트도 많이함,2024-06-27
5,숙박예약하기 힘든데 편하게 했어요,2024-06-27
5,좋아요,2024-06-27
5,쿠폰이많고 숙박시설이 다양해서좋아요!,2024-06-27
5,사용하기 편리하게 한눈에 각 달의 하루하루 금액까지 볼수있네요.할인도 좋고~~,2024-06-27
5,좋네요,2024-06-27
5,너무 예약하기 편해요!,2024-06-27
2,가족여행으로 숙소잡는데요. 인원까지 포함된 금액이 나왔으면 합니다. 기준인원이 2인 또는 4인인곳이 많아 숙소 보고 추가인원비용이 숙소마다 달라 매번 별도로 계산해야하는게 너무 번거로움,2024-06-27
5,무엇보다도 편리하고 숨어있는 추가요금 없음.,2024-06-26
5,좋아요,2024-06-26
5,좋ㄷㄱㆍ,2024-06-26
5,좋습니당.,2024-06-26
5,야놀자 어플이야 말할게 있나요ㅋㅋ 굳입니다,2024-06-26
5,신규 및 추가적으로 혜택 좋아요~~~,2024-06-26
4,좋아요 편리하고,2024-06-26
1,"업데이트 후 필터 목록(계곡인접,개별바베큐 등등)이 너무 줄어들어서 맘에드는 펜션 찾기가 더 오래걸려서 불편해요 다시 이전으로 바꿔주세요",2024-06-26
5,좋음,2024-06-26
5,가격좋고 깨끗한 내부 만족합니다.,2024-06-25
5,싸고 좋음,2024-06-25
4,"할인혜택 좋코, 다양한 숙소제공에 리뷰까지.. 넘넘 좋아요~",2024-06-25
5,좋음,2024-06-25
1,야놀자 게시 사진만 믿고 갔다가 큰 피해를 봤어요..,2024-06-25
5,할인이 타사대비 좀더 자주함,2024-06-25
5,편합니다,2024-06-25
5,할인율과 다양한 행사가 많아서 좋아요.,2024-06-25
4,굳,2024-06-25
5,숙소잡고 주변가볼만한곳 찾아 여행하는거 너무좋음,2024-06-25
5,좋아요,2024-06-25
5,편해요,2024-06-25
4,편리하고 좋아요,2024-06-25
1,최근에 해외숙소 지도만 들어가면 재시도하라고 하네요. 네트워크에는 문제가 없는데 어플 문제인것 같습니다. + 아직도 개선안됨 해외숙소는 아예 검색결과가 안나옴 타플랫폼을 쓸수밖에 없는환경,2024-06-25
5,좋아요,2024-06-25
5,굿,2024-06-25
5,예약이 간편하고 편리해요,2024-06-24
5,조아요,2024-06-24
5,제일 편리,2024-06-24
5,간편하고 할인대박,2024-06-24
5,굿굿굿굿굿,2024-06-24
4,할인쿠폰잘쓰면 좋네염,2024-06-24
5,좋아요 잘 이용하고 있어요,2024-06-24
5,숙소예약하기 편리하고 좋습니다.,2024-06-24
5,할인많아요,2024-06-24
5,출장 숙소 잡기가 편해요!,2024-06-24
5,깔끔 하게 좋아요,2024-06-23
5,빠르고 편하고 매우 경제적으로 많은 도움이 됩니다.,2024-06-23
5,저아,2024-06-23
5,지역별 카테고리별로 정리가 잘 되어 있어 편리하게 검색할수 있어 좋습니다,2024-06-23
5,간편하고 저렴해여,2024-06-23
5,타사이트보다 가격이 착했습니다!,2024-06-23
5,good^-^!!!,2024-06-23
5,저렴하게 잘 구매했어요.,2024-06-23
5,할인도 혜택도 많아 좋아요,2024-06-22
5,좋아요,2024-06-22
5,굿입니다,2024-06-22
5,좋아요.,2024-06-22
5,편해요,2024-06-22
5,편히해요.,2024-06-22
5,쿠폰 자주 줘서 조아요,2024-06-22
1,"예약하고 방문했더니 빈방이 없다고 쫓겨났어요. 숙소는 책임회피하려고 고객센터 문의하라고 하고 고객센터는 결제금액만 환불해주면 되지 않냐는 식입니다. 내가 노쇼해서 환불불가라면, 숙소가 위약했을 때 2배 환불되어야 불공정하지 않은 약관 아닌가요? 당장 대체숙소도 없는데 한겨울에 길에서 떨던 것 생각하면 야놀자 치가 떨립니다. 수수료로 돈만 벌고 문제시 책임은 회피하는 불량기업",2024-06-22
5,간편하게 결재되어 편리합니,2024-06-22
5,친절하고 깨끗해요,2024-06-22
5,편리해요 빨라요,2024-06-22
5,처음에는 좀 당황했는데 친숙해 졌어요 제가 펜션 운영할때 야놀지에 위탁해서 경영한 이력으로 방금 친해 졌어요 가성비 좋은 리조트를 안내받아 굳입니다,2024-06-22
4,편리하고 괜찮네요,2024-06-22
5,예약하기 좋아요,2024-06-22
5,이 어플 덕분에 여자 친구가 생겼어요,2024-06-21
5,편해요 아주 좋아요ㅋㅋ,2024-06-21
5,좋아용,2024-06-21
5,굿이요,2024-06-21
1,정말 개판이라는 말밖에 나오지 않네요 새벽에 숙소에 도착해서 야놀자로 결제한 방은 없다고 나오고 데스크는 연락도 안되고 고객센터에서는 급한대로 근처에서 숙박하라는데 차액 보상도 안할거면서 새벽에 그게 뭐하는건지 환불해준다고 그게 다가 아니라는거 좀 알았으면 합니다. 다음날 야놀자 고객센터에서 모텔에 확인하니 데스크에 열쇠랑 표기해놨다는데 난 보지도 못했고 그리고 어떤놈이 주인없는 데스크에 가서 그걸 봅니까? 예약한 곳에서 연락이라도 한번 해주는게 어렵습니까? 이런 무책임한 지원에 화나고 고객센터에서는 보상안이라는게 5000포인트 보상이고 불편을 표현하니 나중에 추가 보상안이 10000포인트고 필요없다니 상담원이 사무적으로 알겠습니다. 이러고 마니 대응도 참 대단하네요 그냥 제가 진상이 되었습니다. 처음 사용에 이러니 답도 없고 그냥 탈퇴하겠습니다. 1억 10억 들여서 광고하면 뭐합니까?,2024-06-21
5,이용하기 편리해서 좋아요😄,2024-06-21
5,조아조아,2024-06-21
4,정보와 리뷰가 맘에 들어요,2024-06-21
3,저렴해요,2024-06-21
4,언제나 저렴해서 좋아요.,2024-06-21
5,타사에 비해 검색이 편리하네요,2024-06-21
5,좋아요,2024-06-21
5,겁나게 편하고 너무 간편해서 조아요,2024-06-20
5,편하고 좋아요,2024-06-20
5,앱에 버그가 있다고하고선 안뜨네요,2024-06-20
5,편리하고 좋아요,2024-06-20
5,좋음,2024-06-20
4,편하게 이용 좋아요,2024-06-20
4,굿,2024-06-20
5,좋아요~!,2024-06-20
5,편리하고 저렴,2024-06-20
5,좋아요.,2024-06-20
5,호텔 레저 여행관련 혜택이 많아서 좋아요.,2024-06-20
5,사용하기가 쉽고 편해요^~^,2024-06-20
5,졸아요,2024-06-20
5,최고,2024-06-20
5,너무 좋은데 장기로 있는방도 따로 찾아보는게 있었으면 좋겠어여 달방이라던지 한달살기 라던지 그런것도 만들어서 되는 장기모텔 되는곳으로용 !!,2024-06-20
